Region,Shipping_Mode,Shipment_Volume,Distance_km,Scheduled_Shipment_Days,Transportation_Cost,Delivery_Time_days
South,Road,454,1139,5,502.68288983862874,6.7673511629443315
East,Sea,217,279,4,176.0760851069969,4.944990553165495
North,Air,153,420,3,185.56039152121014,0.9179387716766302
North,Rail,86,364,5,50.0,4.0632216884765695
North,Road,410,658,2,143.40787806579468,3.51058734994621
North,Road,198,166,8,50.0,3.020548477108165
West,Road,475,912,5,337.40052060213776,4.541926378481737
North,Air,61,717,7,177.91720442908232,2.7857579805115082
West,Rail,467,856,1,312.69680575186965,5.107175896760873
West,Rail,34,756,3,50.0,3.8696836333103533
North,Road,130,623,2,236.329216127468,3.259515303376414
North,Sea,176,1276,8,204.75244232617598,6.616916101775954
South,Air,308,1019,4,579.2846594856505,2.745466184806006
East,Road,497,401,8,126.33004207875301,4.257790288057224
North,Road,250,964,6,319.9898449183783,5.020408967471921
South,Road,430,1024,7,321.1694227133831,5.9851586758585675
South,Road,439,431,2,202.66362704589,2.7992603222664756
East,Road,176,1496,4,271.66563795515526,5.800720123051109
West,Road,57,644,6,56.26547659528722,4.286569847020715
North,Road,460,1326,6,415.72535946823257,4.752779593688136
East,Rail,116,1212,2,213.9971431414266,5.561368947017621
North,Road,430,1205,7,438.46922549473925,3.397522125781203
South,Road,458,1024,5,412.06310446866667,5.727357695125735
South,Road,308,649,5,129.07801742016977,3.6675017976801305
West,Road,273,217,6,116.02192544896013,3.7818141766809994
South,Air,215,1151,5,468.1964315466537,3.176799517879513
South,Road,105,160,1,139.00251895922912,2.466084771025127
East,Road,341,834,6,279.91275927542284,2.701447200647514
North,Rail,29,1224,6,124.36839315200555,4.26929738928356
North,Road,24,965,4,285.33937687939505,1.5668538156582579
East,Rail,142,1015,5,134.41297438991734,4.844886517171344
West,Road,349,212,7,112.1457839752019,5.338498703181248
North,Road,372,1012,6,226.0827230764761,3.4010526104820005
South,Sea,137,393,8,50.0,2.5258181165800933
North,Sea,313,68,7,50.0,5.689918919585533
South,Air,416,526,1,399.7978652189704,4.335717869296701
West,Road,178,1402,4,328.9609166106497,5.524421065259802
East,Road,322,1011,2,281.78957330533007,4.91323239471996
North,Rail,247,950,7,202.7001466866913,5.098867926356248
East,Road,384,1450,6,399.50086842585324,3.78574276948994
North,Road,235,751,1,222.6378195115252,2.5450380822565237
South,Road,455,1214,3,501.948550305249,4.879996670601481
East,Road,203,45,1,50.0,2.0352946599702566
North,Sea,34,522,1,189.7206120909766,5.171327072230058
South,Road,176,1479,4,67.11450832254948,6.207324823928159
East,Rail,155,1161,2,170.35708980653493,5.133912168082979
East,Road,280,923,3,395.5755148321091,5.245716756404612
North,Road,176,340,5,180.5580557672081,2.52471029009723
North,Road,66,768,5,153.99252547244456,4.856739592865757
North,Road,343,1223,7,470.8551676762081,5.161117567073424
South,Sea,351,575,1,101.24184713991994,5.352919659078487
North,Air,192,443,8,266.4673195725533,1.5952940605488894
East,Sea,149,280,4,150.89819682317253,4.652711157842433
East,Air,430,788,8,605.5758506041082,2.6266342376799714
North,Rail,114,1194,4,121.33636743528135,6.488606198517472
North,Sea,134,1327,5,106.38993967436622,6.9342844015843506
